ID,Sentence,Micaela,Shantina,Danyi,Gold
001_0-156,"In the film, ""Girl Interrupted,"" Winona Ryder plays an 18-year-old who enters a mental institution for what is diagnosed as borderline personality disorder.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_157-234,The year is 1967 and the country is in turmoil over Vietnam and civil rights.,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_235-330,"While lying on her bed one night and watching TV, she sees a news report about a demonstration.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_331-484,"The narrator says something that might apply to today\'s turmoil: ""We live in a time of doubt. The institutions we once trusted no longer seem reliable.""",FACT-TESTIMONY,ASSERTION,ASSERTION,ASSERTION
001_488-606,"As 2014 ends, the stock market is at record highs but our traditional institutions and self-confidence are in decline.",FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY
001_610-623,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,NON-ARGUMENT,NON-ARGUMENT
001_627-640,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,NON-ARGUMENT,NON-ARGUMENT
001_644-732,A Pew Research Center study confirms one trend that has been obvious over several years.,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_733-784,"The ""typical"" American family is no longer typical.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_785-881,"Just 46 percent of American children now live in homes with their married, heterosexual parents.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_882-919,Five percent have no parents at home.,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_920-982,"They most likely are living with grandparents, says the study.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_986-1146,These startling figures about the decline of the American family contrast with the year 1960 when 73 percent of American children lived in traditional families.,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_1150-1268,A major contributor to this trend has been the assault on marriage and other institutions by the Baby Boom generation.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_1268-1526,"It was that generation that promoted cohabitation, no-fault divorce, hatred of the police (they called them ""pigs"" then, too) and disdain for the military and America, spawned not just by the Vietnam War but a life of relative ease unknown to their parents.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_1530-1609,The culture bomb dropped by the boomers created fallout still being felt today.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_1610-1735,"The two-plus generations born since the Sixties have been infused with the notion of entitlement, victimhood, envy and greed.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_1736-1954,"Since the elimination of the draft, young people are no longer expected to serve in the military and so most of them pursue whatever goals they wish with no expectation they should give something back to their country.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_1955-2028,It\'s one possible explanation for why we can no longer seem to win wars.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_2032-2193,History warns us what happens when empires refuse to teach known values that strengthen societies and help protect them from enemies intent on their destruction.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_2197-2304,"The late British diplomat Sir John Glubb wrote a book called ""The Fate of Empires and Search For Survival.""",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_2305-2406,Glubb noted the average age of empires since the time of ancient Assyria (859-612 B.C.) is 250 years.,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_2407-2496,Only the Mameluke Empire in Egypt and the Levant (1250-1517) made it as far as 267 years.,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
001_2497-2557,America is 238 years old and is exhibiting signs of decline.,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY
001_2561-2695,"All empires begin, writes Glubb, with the age of pioneers, followed by ages of conquest, commerce, affluence, intellect and decadence.",FACT-TESTIMONY,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY
001_2696-2909,"America appears to have reached the age of decadence, which Glubb defines as marked by ""defensiveness, pessimism, materialism, frivolity, an influx of foreigners, the welfare state, (and) a weakening of religion.""",FACT-TESTIMONY,ASSERTION,ASSERTION,ASSERTION
001_2913-3048,"Decadence, he writes, ""is due to: Too long a period of wealth and power, selfishness, love of money (and) the loss of a sense of duty.""",FACT-TESTIMONY,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY
001_3052-3099,Do these not define America at the end of 2014?,RH-QUESTION,RH-QUESTION,RH-QUESTION,RH-QUESTION
001_3100-3254,"Glubb says the 250-year average of empires has not varied in 3,000 years, but we don\'t learn from history because ""our studies are brief and prejudiced.""",FACT-TESTIMONY,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY
001_3255-3307,He means they are mostly about one\'s own country.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_3309-3425,It will take more than a new Congress in 2015 and a new president in 2017 to save us from the fate of other empires.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
001_3426-3562,"It will take a revival of the American spirit, and that can only come through changed attitudes towards our institutions and each other.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_0-134,"FILE - In this Dec. 10, 2012 file photo, fog obscures the Capitol dome on Capitol Hill in Washington. ((AP Photo/J. Scott Applewhite))",NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
002_138-599,"A British author, residing in the United States for the past 30 years, created a small firestorm earlier this week with his candid observations that modern- day Americans have been duped by the government into accepting a European- style march toward socialism because we fail to appreciate the rich legacy of personal liberty that is everyone’s birthright and is expressly articulated in the Declaration of Independence and guaranteed by the U.S. Constitution.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
002_603-875,"Os Guinness, the author of more than a dozen books defending traditional Judeo-Christian values and Jeffersonian personal liberty, argued that we should embrace individual liberty and personal dignity and reject the “no givens, no rules, no limits” government we now have.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
002_879-892,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
002_896-909,ADVERTISEMENT,NON-ARGUMENT,NON-ARGUMENT,None,NON-ARGUMENT
002_913-1177,"He went on to opine that the government today is not the constitutionally restrained protector of personal freedoms the Framers left us, but rather has become the wealth-distributing protector of collective interests the Founding Fathers never could have imagined.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
002_1181-1211,Yet the problem is a deep one.,OTHER-FORM,ASSERTION,ASSERTION,ASSERTION
002_1212-1416,"The Framers believed in the presumption of liberty, which declares that we are free to make personal choices, and the government cannot interfere with our liberties unless we violate the rights of others.",FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY,FACT-TESTIMONY
002_1417-1622,"Stated differently, the federal government cannot interfere with our personal choices by writing any law it wants; it can only regulate behavior or spend money when the Constitution authorizes it to do so.",FACT-TESTIMONY,ASSERTION,ASSERTION,ASSERTION
002_1626-1895,"But for the past 100 years, the federal government has rejected the Madisonian concept that it is limited to the 16 discrete powers the Constitution delegates to it, and has claimed its powers are unlimited, subject only to the express prohibitions in the Constitution.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
002_1896-2131,"Even those prohibitions can be gotten around since government lawyers have persuaded federal courts to rule that Congress can spend tax dollars or borrowed money on any projects it wishes, whether authorized by the Constitution or not.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
002_2131-2301,"The courts even have authorized Congress to use federal tax dollars to bribe the states into enacting laws that Congress is powerless to enact, and Congress has done so.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
002_2305-2639,"The Declaration of Independence defines our personal liberties as inalienable aspects of our humanity, and the Constitution prohibits the government from interfering with those liberties -- like thought, speech, press, association, worship, self-defense, travel, privacy, due process, use of money and private property, to name a few.",FACT-TESTIMONY,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY
002_2643-2797,"The teaching of these founding documents is that our liberties are natural -- their source is not the government -- and they are personal, not collective.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_2798-2987,We don’t need a government permission slip to exercise them; we don’t need to belong to a group to enjoy them; they cannot be taken away by a congressional vote or a presidential signature.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_2991-3159,"Even though everyone who works for the government takes an oath to uphold the Declaration and the Constitution, very few are consistent with what they have sworn to do.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_3160-3485,"We know that because on the transcendental issues of our day -- life, liberty, war and debt -- the leadership of both political parties and the behavior of all modern presidents have revealed a steadfast willingness to write any law and regulate any behavior or permit any evil, whether authorized by the Constitution or not.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_3489-3499,Take life.,OTHER-FORM,OTHER-FORM,OTHER-FORM,OTHER-FORM
002_3500-3551,Abortion is the most deadly force in America today.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_3552-3714,"Abortions lawfully kill a baby a minute -- that’s 1.1 million babies a year and 45,000,000 killed since the Supreme Court issued its Roe v. Wade decision in 1973.",ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
002_3715-3944,"A simple one-line statute -- “The fetus in the womb is a legal person” -- could have been enacted by a simple majority vote in Congress and signed into law by any of our so-called pro-life presidents, thus stopping the slaughter.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_3945-3963,It never happened.,OTHER-FORM,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY
002_3967-3980,Take liberty.,OTHER-FORM,OTHER-FORM,OTHER-FORM,OTHER-FORM
002_3981-4216,"Both parties support the Patriot Act and the secret FISA apparatus, which together invade privacy, infringe upon free speech, permit federal agents to write their own search warrants and allow domestic spying on all of us all the time.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_4217-4359,"This demonstrates that our political leaders do not believe that our rights are inalienable, but can be interfered with and regulated by them.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_4360-4481,They have written laws that literally permit federal agents to do the very acts the Constitution was written to prohibit.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_4485-4529,Take the lethal combination of war and debt.,OTHER-FORM,OTHER-FORM,OTHER-FORM,OTHER-FORM
002_4530-4584,Both parties support perpetual war and perpetual debt.,ASSERTION,ASSERTION,FACT-TESTIMONY,ASSERTION
002_4585-4814,"The leadership of both parties has permitted every modern president to kill whomever he pleases in foreign countries without lawful declarations of war and to do so by going into a $17 trillion hole of debt, with no end in sight.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_4814-4910,"Today, 20 cents of every tax dollar collected goes to interest on pre-existing government debt.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_4910-5029,Today’s taxpayers are still paying interest on the $30 billion Woodrow Wilson borrowed to finance World War I in 1917.,FACT-TESTIMONY,ASSERTION,FACT-TESTIMONY,FACT-TESTIMONY
002_5033-5063,The British author is correct.,ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_5064-5412,"Unless we have a radical change in the direction of government -- its size, cost, focus, intrusiveness and rejection of first principles -- and unless we elect people to the government who truly believe the Declaration and the Constitution mean what they say, we will continue our march toward the federal destruction of the presumption of liberty.",ASSERTION,ASSERTION,ASSERTION,ASSERTION
002_5413-5450,"It is a slow march, but a steady one.",OTHER-FORM,ASSERTION,ASSERTION,ASSERTION
003_0-196,"Russian President Vladimir Putin smiles during a live video link with members of Russian Geographical Society expedition to the Southern Pole in Moscow\'s Kremlin, Russia on Friday, Dec. 26, 2014.(AP Photo/RIA Novosti, Alexei Druzhinin, Presidential Press Service)",OTHER-FORM,FACT-TESTIMONY,None,NON-ARGUMENT
